id,name,faction,raw_faction,attack,armor,health,raw_health,cost,raw_type,type,sub_types,card_effect,flavor_text
gambler's-eye,Gambler's Eye,red-hegemony,Red Hegemony,,,,,2,augment-unit,augment,unit,"During your upkeep, you may look at any number of cards in an opponent’s hand, up to this unit’s health. If you find an Echo, score one. If you do not, this unit loses 1 health for each card you saw.","Acquisition of great wealth, or furious punishment."
grave-horde,Grave Horde,red-hegemony,Red Hegemony,,,,,4,colony-facility,colony,facility,"If a unit is damaged in a battle with your units, you may move any health that would be scrapped to this facility.","Nanite clouds erupted from the bodies when disturbed, the final gasp of the soul."
hacker's-den,Hacker's Den,red-hegemony,Red Hegemony,,,,,3,colony-facility,colony,facility,T: Draw a random card from an opponent’s scrap and add it to your hand.,Exiles from the overcity turn into parasites in the network.
hegemony-pirates,Hegemony Pirates,red-hegemony,Red Hegemony,3,1,4,dddd,5,unit-human,unit,human,"If this unit breaches and scores an Echo, you may restore 1 health to it from your Citadel.",
hegemony-slavers,Hegemony Slavers,red-hegemony,Red Hegemony,2,1,2,dd,4,unit-human,unit,human,"Whenever this unit breaches a Faction, you may take 1 citizen from that Faction’s colony and add it to an adjacent unit.
Slavelink (This unit gains +1 Attack for every other unit you control in the lane.)",
hellcat,Hellcat,red-hegemony,Red Hegemony,3,0,4,dddd,4,unit-mech,unit,mech,"Whenever this unit survives combat, it adds 1 health from the Crèche.","A scav mech lacks in beauty, but overflows with personality."
hornet-swarm,Hornet Swarm,red-hegemony,Red Hegemony,0,0,4,dddd,6,unit-synth,unit,synth,"Squad (This unit gets +1 Attack for every health on it.)
Airborne (Each airborne unit may move during your move phase)",
listening-post,Listening Post,red-hegemony,Red Hegemony,,,,,3,colony-facility,colony,facility,D: Look at a card in any player’s Forge.,Keep your ear to the ground and you’ll get the Shroud’s eye view.
privateer-contract,Privateer Contract,red-hegemony,Red Hegemony,,,,,2,reflex,reflex,,"Target a Faction. If this Faction is breached, the breaching Faction gains a T on their Citadel.",
razorback,Razorback,red-hegemony,Red Hegemony,2,1,5,ddddd,4,unit-antigrav,unit,antigrav,"Airborne (Each airborne unit may move during your move phase)
When this unit moves, scrap one health from it.","Big engine, no heatsinks."
reconstruct,Reconstruct,red-hegemony,Red Hegemony,,,,,2,augment-unit,augment,unit,"This unit may immediately restore its health from your Citadel and is now a Mech with:
 Slow (If this unit takes lethal combat damage, it does not deal damage in return.)
And Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)",
shipbreakers,Shipbreakers,red-hegemony,Red Hegemony,1,0,4,dddd,2,unit-human,unit,human,You may lose a health from this unit to take a random card from your scrap into your hand.,"Dangerous work, plundering the tombs of ancient starfarers."
smog-skiff,Smog Skiff,red-hegemony,Red Hegemony,1,2,3,ddd,3,unit-antigrav,unit,antigrav,"Airborne (Each airborne unit may move during your move phase)
Adjacent units get -1 Attack",
talent-hack,Talent Hack,red-hegemony,Red Hegemony,,,,,2,reflex,reflex,,All factions gain D during their growth phase instead of T.,"A mind supported by a neural network is a mind that is vulnerable, both within and without."
telepath-graft,Telepath Graft,red-hegemony,Red Hegemony,,,,,2,augment-unit,augment,unit,"Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)
This unit cannot move.","Grafting lilin muscular dendrites into human cervical vertebrae is how some of us get our rocks off.
-Rinn Bell, Graft artist"
tethered-nephilim,Tethered Nephilim,red-hegemony,Red Hegemony,3,2,1,t,6,unit-synth,unit,synth,"During your upkeep, you may scrap a health from this unit to look at an opponent’s hand, or a card in their Forge.",A Nephilim is the rare prize you chain to the biggest rock you can find.
worker-hovels,Worker Hovels,red-hegemony,Red Hegemony,,,,,3,colony-facility,colony,facility,"D: Add 1 to a card in a Forge.
If there are 3 or more D here, move them to target opponent’s Citadel. Scrap all T there.",Stinking hives just waiting for the overseers. I say concentration breeds contempt. -Foreman Domai
apsynthos-nanocores,Apsynthos Nanocores,machina-sapiens,Machina Sapiens,,,,,5,colony-facility,colony,facility,"D: Flip this Drone, then add a T to this facility from the Creche.","“Don’t call us graverobbers. Plunderers. Those who call the wreck a ‘tomb’ are superstitious tribals, or plain old fools.”"
black-queen,Black Queen,machina-sapiens,Machina Sapiens,2,1,1,d,4,unit-synth,unit,synth,Slavelink (This unit gains +1 Attack for every other unit you control in the lane.),"Big brain queen. holdin’ so many bastard’s thoughts all at once, big old brain full of secrets and lies."
blink-gate,Blink Gate,machina-sapiens,Machina Sapiens,,,,,5,colony-facility,colony,facility,D: Move target unit you control to any position in any lane OR reveal a finished unit and forge it.,"Work crews refused to enter at first, convinced we had opened a gate to hell."
blink-module,Blink Module,machina-sapiens,Machina Sapiens,,,,,2,augment-unit,augment,unit,You may move this unit to any position in the lane at the beginning of any combat phase.,
cataphract,Cataphract,machina-sapiens,Machina Sapiens,2,1,2,dd,5,unit-synth,unit,synth,Pierce (This unit ignores Armor when in combat.),"Microminiature laser lances arc from its body on contact, shattering steel and a bit of bone."
command-spire,Command Spire,machina-sapiens,Machina Sapiens,,,,,4,colony-facility,colony,facility,T: Units in target lane gain +1 Attack until end of phase.,"We watched the machines mimic the architecture of war, and ignored the obvious implications."
corpse-harvesters,Corpse Harvesters,machina-sapiens,Machina Sapiens,1,1,3,ddd,3,unit-synth,unit,synth,"If any unit is scrapped, move its last health token to your Citadel.",Crechlings tell stories at night of the harvesters taking them away.
cybernetic-conciousness,Cybernetic Conciousness,machina-sapiens,Machina Sapiens,,,,,2,reflex,reflex,,Units in target lane gain Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.),"Runner to technocrat; datajacks skipping stones off drone hive security backbones. Input soul, output jazz."
datajack-wraiths,Datajack Wraiths,machina-sapiens,Machina Sapiens,3,0,3,ddd,4,unit-synth,unit,synth,"Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)
Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.)",
datalink-hub,Datalink Hub,machina-sapiens,Machina Sapiens,,,,,3,colony-facility,colony,facility,D: Place a T on this card from the creche for every Cybernetic unit in play.,Jill jacks in; to fetch the sin; steal the crown; kings tumble down.
exterminating-servitors,Exterminating Servitors,machina-sapiens,Machina Sapiens,3,1,3,ddd,5,unit-synth,unit,synth,"Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)
If this unit breaches a lane, the defending player scraps a citizen from their Citadel.",
graft-rejection,Graft Rejection,machina-sapiens,Machina Sapiens,,,,,2,reflex,reflex,,Scrap target Augment.,Nanite compatibility is as much an art as a science. Multi-limb replacement failures are just bad luck.
hunter-seeker,Hunter-Seeker,machina-sapiens,Machina Sapiens,2,1,3,ddd,4,unit-synth,unit,synth,You may move this unit to any position in the lane at the beginning of any combat phase.,It moves like the wind and bites like the frost.
nanite-golems,Nanite Golems,machina-sapiens,Machina Sapiens,2,2,4,dddd,4,unit-synth,unit,synth,"Slow (If this unit takes lethal combat damage, it does not deal damage in return.)",The first line written into the RNA was test code: ‘emet’.
nanocore-emissaries,Nanocore Emissaries,machina-sapiens,Machina Sapiens,1,1,3,ddd,2,unit-synth,unit,synth,Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.),"Not flesh and bone, nor pure data, the emissaries are somewhere in between."
nautilus,Nautilus,machina-sapiens,Machina Sapiens,2,1,1,d,3,unit-synth,unit,synth,Units adjacent to this one gain +1 Armor.,"Nautilus fields overlap in a most pleasant way, humming and buzzing and shrugging off nasty things."
quiet-hulk,Quiet Hulk,machina-sapiens,Machina Sapiens,2,2,3,ddd,3,unit-synth,unit,synth,This unit only deals combat damage if it loses at least 1 health.,Children are warned when they are very small; not to throw stones at sleeping giants.
remake,Remake,machina-sapiens,Machina Sapiens,,,,,3,reflex,reflex,,Target unit adds 2 health from the Creche.,
repair-and-refit,Repair and Refit,machina-sapiens,Machina Sapiens,,,,,1,reflex,reflex,,"Restore health to any number of target units, using citizens from your Citadel.",
shield-generator,Shield Generator,machina-sapiens,Machina Sapiens,,,,,2,augment-unit,augment,unit,Units adjacent to this one gain +1 Armor and are immune to Splash.,
shrike-herd,Shrike Herd,machina-sapiens,Machina Sapiens,2,1,3,ddd,4,unit-synth,unit,synth,"Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)
If this unit deals combat damage, add one of the health tokens that would be lost to this card instead.",
snatchers,Snatchers,machina-sapiens,Machina Sapiens,2,1,2,dd,3,unit-synth,unit,synth,"You may remove a D from a target Citadel during your upkeep, and add it to your Citadel.",Synthetic psychology is tricky science - investigating a mind that is hellbent on becoming the investigator.
stray-mecha,Stray Mecha,machina-sapiens,Machina Sapiens,1,1,3,ddd,2,unit-synth,unit,synth,Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.),"Mother mecha, mother mecha, are you alive?
‘I breathe, I speak, I bleed, I die’"
synaptic-umbilical,Synaptic Umbilical,machina-sapiens,Machina Sapiens,,,,,2,augment-unit,augment,unit,Target unit gains Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.),"Information is invisible, odorless, textureless. It is the oxygen of the new world."
synth-fab,Synth Fab,machina-sapiens,Machina Sapiens,,,,,3,colony-facility,colony,facility,T: Use the Creche to restore 1 health to a target Synth or Mech unit.,Hulking masses of wires and swarming nanites — nests to incubate the unliving.
tachyon-shield,Tachyon Shield,machina-sapiens,Machina Sapiens,,,,,6,colony-facility,colony,facility,"D: Return one health from a unit attacking you to its owner’s Citadel. If this scrapped the unit, return it to their hand.",Time will be our aegis now.
teleport,Teleport,machina-sapiens,Machina Sapiens,,,,,1,reflex,reflex,,Move target unit to any position in any lane its owner controls. You cannot use this during a combat phase.,
they-of-the-machine,They of the Machine,machina-sapiens,Machina Sapiens,,,,,3,reflex,reflex,,Synth and Mech units gain +1 Attack and +1 Armor while this is in play.,Synth fabs have strict codes of conduct for the Crèche techs. No swearing. No laughing. And absolutely no prayers in sight of the machines.
thought-control,Thought Control,machina-sapiens,Machina Sapiens,,,,,4,reflex,reflex,,"Move target unit to the back of any lane, under the control of that player.
Return this unit to its owner when this reflex is scrapped, in the back of a lane they control. If this is not possible, scrap it.",
viral-saboteur,Viral Saboteur,machina-sapiens,Machina Sapiens,,,,,3,augment-unit,augment,unit,Any unit adjacent to this one loses one health during their controller’s upkeep.,"Datajacks are traitors. Cowards. Thieves. Let them try and crack our soldiers.
-General Lia Madov, ‘Machine Casualties’"
aegis-shell,Aegis Shell,utopian-remnant,Utopian Remnant,,,,,3,augment-unit,augment,unit,All units behind this one gain +1 Armor.,
aether-tap,Aether Tap,utopian-remnant,Utopian Remnant,,,,,4,colony-facility,colony,facility,D: Add 2 to a card in a Forge.,"To drain the planet dry, we only had to break the skin."
airdock,Airdock,utopian-remnant,Utopian Remnant,,,,,4,colony-facility,colony,facility,D: Move target unit you control to any position in any lane. This ability cannot be used during a combat phase.,
apsynthos-revelations,Apsynthos Revelations,utopian-remnant,Utopian Remnant,,,,,0,reflex,reflex,,You may draw up to two cards. All other factions may immediately draw as many cards as you do.,Today we remember the sacrifice to give humanity our home - the fall of Terra and the gods revealed.
chimera-empaths,Chimera Empaths,utopian-remnant,Utopian Remnant,1,0,5,ddddd,2,unit-chimera,unit,chimera,Units adjacent to this one restore one health from the Creche during your growth phase.,"<We are the voice of your pain>
-Promethea probe logs"
chimera-oracles,Chimera Oracles,utopian-remnant,Utopian Remnant,1,0,5,ddddd,3,unit-chimera,unit,chimera,"During your upkeep, you may look at target player’s hand or one card in their Forge.",We can remember your future.
chimera-symbiont,Chimera Symbiont,utopian-remnant,Utopian Remnant,2,1,1,d,3,unit-chimera,unit,chimera,Health lost from adjacent units is placed on this card instead of the Creche.,Press your nails into your palm. Now release. That feeling of pain fading away? That’s what I pray for.
chimera-telepaths,Chimera Telepaths,utopian-remnant,Utopian Remnant,1,0,5,ddddd,3,unit-chimera,unit,chimera,"If this unit is in a breach, your opponent reveals their hand or Forge respectively during selection.",We can see your secrets.
cloning-tanks,Cloning Tanks,utopian-remnant,Utopian Remnant,,,,,6,colony-facility,colony,facility,"T➤ Add one T to your Citadel during your growth phase.
D➤ Add one D to your Citadel during your growth phase.",
cloudbreakers,Cloudbreakers,utopian-remnant,Utopian Remnant,3,1,4,dddd,6,unit-antigrav,unit,antigrav,Airborne (Each airborne unit may move during your move phase),"Air power rules this world - but rule humbly my friends. Remember Icarus.
-Cloudbreaker Initiate Ceremony"
command-ring,Command Ring,utopian-remnant,Utopian Remnant,,,,,3,colony-facility,colony,facility,T: Units in target lane gain +1 Attack for every T here until end of phase.,
creche-tutors,Creche Tutors,utopian-remnant,Utopian Remnant,1,0,3,ddd,2,unit-synth,unit,synth,Add +1 T to your Citadel during your growth phase.,"The Chimera seek knowledge as a plant seeks water; brains straining against their organic limitations. They’ll need apt teachers.
-Maestra Zayev, Chimera Handler"
datajack-legion,Datajack Legion,utopian-remnant,Utopian Remnant,2,1,4,dddd,4,unit-synth,unit,synth,"Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)
Health lost from this unit is returned to your Citadel.",For we are many.
fractal-weave,Fractal Weave,utopian-remnant,Utopian Remnant,,,,,3,augment-unit,augment,unit,"This unit gains +1 Armor and Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.)",
grav-skimmers,Grav Skimmers,utopian-remnant,Utopian Remnant,2,2,3,ddd,5,unit-antigrav,unit,antigrav,Airborne (Each airborne unit may move during your move phase),Our ancestors walked among the stars; we can barely lift our wings.
gravcarrier,Gravcarrier,utopian-remnant,Utopian Remnant,1,2,5,ddddd,7,unit-antigrav,unit,antigrav,"Airborne (Each airborne unit may move during your move phase)
You may restore this unit from your Citadel during your upkeep. During any player’s upkeep, you may add health from this unit to adjacent units.",
ion-shroud,Ion Shroud,utopian-remnant,Utopian Remnant,,,,,4,augment-unit,augment,unit,This unit deals +2 damage and gains +1 Armor when resolving combat.,"A tiny hiss audible at the moment of contact, and the synth contorts into a tight, shuddering ball, like a dying insect."
knit,Knit,utopian-remnant,Utopian Remnant,,,,,2,reflex,reflex,,Restore all health to target unit from the Creche.,New life from the old bones.
misdirection,Misdirection,utopian-remnant,Utopian Remnant,,,,,1,reflex,reflex,,Target player may move any number of units they control to any position in either lane.,
orbital-strike,Orbital Strike,utopian-remnant,Utopian Remnant,,,,,5,reflex,reflex,,Scrap target unit.,It’s the only way to be sure.
peremeter-shield,Peremeter Shield,utopian-remnant,Utopian Remnant,,,,,5,colony-facility,colony,facility,D: All units in target defending lane gain +1 Armor until end of phase.,"We never saw the shield go up, but we felt the impact in our teeth as bullets shattered against air."
psych-resontor,Psych Resontor,utopian-remnant,Utopian Remnant,,,,,3,augment-unit,augment,unit,"This unit gains +1 Attack in combat, or +2 if your opponent controls more Echoes than you.",Mind’s eye unclouded.
spider-battery,Spider Battery,utopian-remnant,Utopian Remnant,3,1,2,dd,5,unit-mech,unit,mech,"Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)",
tachyon-burst,Tachyon Burst,utopian-remnant,Utopian Remnant,,,,,3,reflex,reflex,,Return target unit to its owner’s hand. Its health is returned to that player’s Citadel.,"The idea of such a weapon is logically absurd, but we would be fools to call it ineffective."
tachyon-cannon,Tachyon Cannon,utopian-remnant,Utopian Remnant,,,,,3,augment-unit,augment,unit,"After this unit deals combat damage, return one health from the opposing unit to its owner’s Citadel. If this scraps the unit, return it to its owner’s hand.",
tachyon-sentries,Tachyon Sentries,utopian-remnant,Utopian Remnant,2,1,3,ddd,4,unit-human,unit,human,"After this unit deals combat damage, return one health from the opposing unit to its owner’s Citadel. If this scraps the unit, return it to its owner’s hand.",Time travel was more fun when it was voluntary.
technogeisha,Technogeisha,utopian-remnant,Utopian Remnant,2,0,3,ddd,3,unit-human,unit,human,"Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.)",A cocktail of pheromone enhancements offer a scent that is literally intoxicating.
terraformers,Terraformers,utopian-remnant,Utopian Remnant,1,1,3,ddd,4,unit-mech,unit,mech,Your cards cost 1 less to Forge.,"Tear up the spore mats. That’s my policy.
-Foreman Domai"
water-extractors,Water Extractors,utopian-remnant,Utopian Remnant,,,,,5,colony-facility,colony,facility,DDD➤ Add +1 TD to your Citadel during your growth phase.,"These will be our monuments to the future generations of Apsyntion. Pull the acid from the oceans, and drink our fill."
weather-control,Weather Control,utopian-remnant,Utopian Remnant,,,,,2,reflex,reflex,,Deal 1 damage to all Airborne units. All units have -1 Armor.,To bend the heavens themselves.
agromechs,Agromechs,undercity-brotherhood,Undercity Brotherhood,0,1,4,dddd,5,unit-mech,unit,mech,Gain +1 T during your growth phase for every health on this unit.,
creche-harvest,Creche Harvest,undercity-brotherhood,Undercity Brotherhood,,,,,1,reflex,reflex,,Place 2 D on this card from the Creche.,"Little bodies in the Drone pens, faces pressed tight against the glass."
critical-shot,Critical Shot,undercity-brotherhood,Undercity Brotherhood,,,,,3,reflex,reflex,,Scrap one health from target unit.,
crustcracker-gang,Crustcracker Gang,undercity-brotherhood,Undercity Brotherhood,3,1,4,dddd,3,unit-human,unit,human,"During your growth phase, scrap one health from Crustcracker Gang.","Convicts, layabouts, aristocrats, kings - every man is born again in the acid of the mines."
flamer-crew,Flamer Crew,undercity-brotherhood,Undercity Brotherhood,2,1,4,dddd,4,unit-human,unit,human,"Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)",A grendel will burn just like anything else. The smell isn’t much of a reward.
flystrikers,Flystrikers,undercity-brotherhood,Undercity Brotherhood,2,0,4,dddd,3,unit-human,unit,human,"If this unit is dealt combat damage, scrap one health from the attacking unit.","A boiling nanite cloud - black as tar, hissing and roiling like hate, rising from the bodies..."
geneforge-nurses,Geneforge Nurses,undercity-brotherhood,Undercity Brotherhood,1,1,3,ddd,,unit-human,unit,human,Add +1D to your Citadel during your growth phase.,"Midwives to the spliced abominations of an overripe society...
-Inquisitor Sandoval, ‘The plank and the splinter’"
graft-necrosis,Graft Necrosis,undercity-brotherhood,Undercity Brotherhood,,,,,1,reflex,reflex,,Target unit loses 1 health for every augment attached to it.																				,A bad graft could die in hours - taking the host to hell in a span of an afternoon.			
homo-superior,Homo Superior,undercity-brotherhood,Undercity Brotherhood,2,2,3,ttt,5,unit-chimera,unit,chimera,You may scrap a D from your Citadel to deal +2 damage when resolving a combat with this unit.,"New monsters in old flesh, these so called ‘men’.
-Malachai Renquist, Neogenesis Bishop"
husk-harvesters,Husk Harvesters,undercity-brotherhood,Undercity Brotherhood,0,1,4,dddd,2,unit-human,unit,human,Each time you score an Echo you may add 1 to a card in your Forge.,"Harvesters follow the flame squads into the spore mats, digging through ashes for such a little thing..."
hypnobar,Hypnobar,undercity-brotherhood,Undercity Brotherhood,,,,,3,augment-facility,augment,facility,Flip T after leaving this facility. Any D leaving this facility are scrapped.,The hypnostims were created to bring addicts back from the brink - now death is preferable to prohibition.
iron-tortoise,Iron Tortoise,undercity-brotherhood,Undercity Brotherhood,1,3,2,dd,4,unit-mech,unit,mech,"Units behind Iron Tortoise gain +1 Armor.
Slow (If this unit takes lethal combat damage, it does not deal damage in return.)",
lowhivers,Lowhivers,undercity-brotherhood,Undercity Brotherhood,2,0,5,ddddd,2,unit-human,unit,human,"This unit gains one D from your Citadel during your growth phase.
During your upkeep, flip a T on the Citadel or scrap Lowhivers.",
mandatory-stims,Mandatory Stims,undercity-brotherhood,Undercity Brotherhood,,,,,2,reflex,reflex,,Move all citizens from a facility to its controller’s Citadel.,Do the stims help us work longer? Or better? Should we be grateful we retain the neural capacity to question?
mantle-bore,Mantle Bore,undercity-brotherhood,Undercity Brotherhood,,,,,6,colony-facility,colony,facility,D: Add 1 to every card in target Forge.,"The drops of rain make a hole in the stone, not by violence, but by oft falling.
-Proverbs, Datalinks"
mindjack,Mindjack,undercity-brotherhood,Undercity Brotherhood,,,,,2,reflex,reflex,,Look at target opponent’s hand. Choose a non-Echo card and add it to your hand.,He felt his mind disconnect from his body - just a plug coming undone and then darkness.
nerve-splice,Nerve Splice,undercity-brotherhood,Undercity Brotherhood,,,,,x,reflex,reflex,,Flip X T on target Citadel. Any player attacking you has +1 breach value.,A necessary atrocity.
neural-amp,Neural Amp,undercity-brotherhood,Undercity Brotherhood,,,,,2,augment-unit,augment,unit,This unit gains +2 Attack.,"Amplify your ideals, send them out among your troops, and they will tear your enemies asunder."
nodal-addicts,Nodal Addicts,undercity-brotherhood,Undercity Brotherhood,1,0,1,d,2,unit-human,unit,human,"You must put a T from your Citadel on this unit during your growth phase, or scrap it.
If attacking and breaching, you may scrap health from this unit. Scrap a citizen from the opposing colony for each health lost.",
pleasure-dome,Pleasure Dome,undercity-brotherhood,Undercity Brotherhood,,,,,2,colony-facility,colony,facility,TT➤ You may add one additional T to your Citadel during your growth phase.,
punishment-chamber,Punishment Chamber,undercity-brotherhood,Undercity Brotherhood,,,,,2,colony-facility,colony,facility,"D: Add 2 to a Forge card.
Scrap all citizens on this facility during your upkeep.",Fear will keep the rabble in line.
recycling-vats,Recycling Vats,undercity-brotherhood,Undercity Brotherhood,,,,,2,colony-facility,colony,facility,Health lost from units you control may be placed on this facility instead of scrapped. ,It is every citizen’s final duty.
rut-hollow,Rut Hollow,undercity-brotherhood,Undercity Brotherhood,,,,,2,colony-facility,colony,facility,DD➤ Add a D to your Citadel during your growth phase.,"They can see the glint of the pleasure dome reflecting like a diamond, a kilometer above the hollow."
scav-gang,Scav Gang,undercity-brotherhood,Undercity Brotherhood,0,1,3,ddd,5,unit-human,unit,human,"Squad (This unit gets +1 Attack for every health on it.)
If this unit deals lethal damage, take an augment from that unit and attach it to Scav Gang.",
secret-police,Secret Police,undercity-brotherhood,Undercity Brotherhood,3,1,3,ddd,2,unit-human,unit,human,Flip a T on your Citadel during your upkeep or scrap Secret Police.,
sporemask,Sporemask,undercity-brotherhood,Undercity Brotherhood,,,,,2,augment-unit,augment,unit,This unit has +1 Armor.,Fungus mats convert organic matter into a thick sludge in hours - the masks prevent this conversion within the lungs.
stimshifts,Stimshifts,undercity-brotherhood,Undercity Brotherhood,,,,,2,augment-facility,augment,facility,Each citizen used to work this facility counts as two. Any citizens removed from this facility are scrapped.,One Drone can work twice as hard for half the life.
tital-cannon,Tital Cannon,undercity-brotherhood,Undercity Brotherhood,,,,,8,colony-facility,colony,facility,D: Deal 1 damage to target unit and each adjacent unit.,"In the recoil there is a hollow quiet, as the planet holds its breath."
vir-ex-machina,Vir ex Machina,undercity-brotherhood,Undercity Brotherhood,,,,,4,augment-unit,augment,unit,"Search a scrap for a unit, and forge it immediately into the back of one of your lanes. Attach this augment.
If this augment is ever removed, scrap the attached unit.",
walker-artillery,Walker Artillery,undercity-brotherhood,Undercity Brotherhood,2,2,2,dd,6,unit-mech,unit,mech,"You may target a Citadel or facility during your upkeep. Its controller chooses a citizen there and scraps it.
Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)",
battle-stims,Battle Stims,myrmidon-dominion,Myrmidon Dominion,,,,,2,augment-unit,augment,unit,This unit gains Resilient (Restore one health from the Creche during your growth phase.),"She pressed the stimkit to her vein, and felt her heart beating like an over taut drum — a moment like falling in love."
burnout,Burnout,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,All T on Citadels flip at the end of  forge phase.,Stimshock is a danger drilled into every Crecheling.
conscription,Conscription,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,Target player may flip as many T as they wish on their Citadel. They may use D to restore the health of any number of units.,
defensive-position,Defensive Position,myrmidon-dominion,Myrmidon Dominion,,,,,2,reflex,reflex,,Target a unit in combat. It gains +1 Armor for each other unit in its lane.,
drillyard,Drillyard,myrmidon-dominion,Myrmidon Dominion,,,,,4,colony-facility,colony,facility,D: Target unit gains +1 Attack until end of phase.,"Battle hymns stream forth from minarets, just tall enough to graze heaven."
firehawk-bomber,Firehawk Bomber,myrmidon-dominion,Myrmidon Dominion,3,0,3,ddd,5,unit-antigrav,unit,antigrav,"Airborne (Each airborne unit may move during your move phase)
Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)",
flesh-spare,Flesh Spare,myrmidon-dominion,Myrmidon Dominion,,,,,3,augment-unit,augment,unit,Any health lost from this unit may be placed on your Citadel instead of being scrapped.,"Envy these beasts! For they serve the maker’s will even at the end of their coil!
-Malachai Renquist, Neogenesis Bishop"
flux-ammo,Flux Ammo,myrmidon-dominion,Myrmidon Dominion,,,,,4,reflex,reflex,,Scrap 2 health from target unit.,"Weaponry on Apsyntion is an arms race between those who break armor, and those who break physics."
geneforge,Geneforge,myrmidon-dominion,Myrmidon Dominion,,,,,3,colony-facility,colony,facility,T: Flip this T. Add 1 to all cards in target Forge.,The terran mule was a masterpiece of engineering. These mules have thumbs.
goliath-cannon,Goliath Cannon,myrmidon-dominion,Myrmidon Dominion,,,,,4,colony-facility,colony,facility,D: Deal 1 damage to target unit.,A railgun is simply a magnet with attitude.
iron-oni,Iron Oni,myrmidon-dominion,Myrmidon Dominion,1,2,3,ddd,4,unit-human,unit,human,"Pierce (This unit ignores Armor when in combat.)
Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)",
lascannon-heavies,Lascannon Heavies,myrmidon-dominion,Myrmidon Dominion,1,3,4,dddd,4,unit-mech,unit,mech,You may scrap one health from this unit to switch its Armor and Attack values until end of phase.,The lasconnon is a formidable weapon with a sizable downside - its propensity to overload after seconds of strain.
link-crown,Link Crown,myrmidon-dominion,Myrmidon Dominion,,,,,2,augment-unit,augment,unit,This unit gains Slavelink (This unit gains +1 Attack for every other unit you control in the lane.),As much a queen as any monarch.
lotus-eaters,Lotus Eaters,myrmidon-dominion,Myrmidon Dominion,3,0,4,dddd,3,unit-human,unit,human,"If this unit attacks and you do not find an Echo, scrap a health from each adjacent unit.","When the stims kick... you just get out of the way, kid. Whatever hole you fall into first, you stay put."
martial-law,Martial Law,myrmidon-dominion,Myrmidon Dominion,,,,,0,reflex,reflex,,"Add 1 to target Forge card for every unit you control, then scrap one health from every unit you control.","Laboring under tyrants, we longed to take their place."
mech-foundry,Mech Foundry,myrmidon-dominion,Myrmidon Dominion,,,,,3,colony-facility,colony,facility,T: Restore one health to a target Mech or Antigrav unit from the Creche.,
mech-junkies,Mech Junkies,myrmidon-dominion,Myrmidon Dominion,1,1,4,dddd,2,unit-human,unit,human,Each adjacent Mech or Antigrav unit gains +1 Attack and +1 Armor.,I’m a mechanic first and a therapist second.
military-academy,Military Academy,myrmidon-dominion,Myrmidon Dominion,,,,,3,colony-facility,colony,facility,"You may place a D from your Citadel on this facility during your upkeep.
T: Use D on this facility to restore the health of any units you control. You may use this ability when this facility is not idle.",
newbloods,Newbloods,myrmidon-dominion,Myrmidon Dominion,2,0,5,ddddd,3,unit-human,unit,human,"If this unit deals lethal combat damage, flip a health token on it.
During your upkeep, you may restore health to this unit from your Citadel.",
powered-exoskeleton,Powered Exoskeleton,myrmidon-dominion,Myrmidon Dominion,,,,,3,augment-unit,augment,unit,This unit gains +1 Attack and +1 Armor.,"The flesh is weak, but the metal is willing."
salamander-armor,Salamander Armor,myrmidon-dominion,Myrmidon Dominion,3,0,2,dd,4,unit-mech,unit,mech,"Slow (If this unit takes lethal combat damage, it does not deal damage in return.)
This unit may be forged during a combat phase, before damage has been dealt, adding it to the back of the lane.",
shock-troops,Shock Troops,myrmidon-dominion,Myrmidon Dominion,1,0,3,ddd,5,unit-human,unit,human,Squad (This unit gets +1 Attack for every health on it.),
slave-battalion,Slave Battalion,myrmidon-dominion,Myrmidon Dominion,1,0,5,ddddd,2,unit-human,unit,human,Return this unit to your hand when it is destroyed.,
